Type,Name,Description,Genre,Release Date,Season,Cast,Platform,Link
TV Show,Sam & Cat,"When life throws them together, teens Sam and Cat become roommates, start a babysitting service and soon discover what an adventure the job can be.",Kids,2013,1 Season,"Jennette McCurdy, Ariana Grande, Cameron Ocasio",Netflix,https://www.netflix.com/ca/title/80027564
Movie,Scarface,"In a ruthless rise to Miami drug lord, a Cuban-born gangster descends into addiction, obsession and brutality, with grisly consequences.",Thriller,1983,-,"Al Pacino, Steven Bauer, Michelle Pfeiffer",Netflix,https://www.netflix.com/ca/title/60029681
TV Show,Schitt's Creek,"Suddenly broke, the formerly filthy-rich Rose family is reduced to living in a ramshackle motel in a town they once bought as a joke: Schitt's Creek.",Comedy,2015,3 Seasons,"Eugene Levy, Catherine O'Hara, Daniel Levy",Netflix,https://www.netflix.com/ca/title/80036165
TV Show,Shameless (U.S.),This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.,Drama,2011,11 Seasons,"William H. Macy, Emmy Rossum, Jeremy Allen White",Netflix,https://www.netflix.com/ca/title/70184207
Movie,Shooting Stars,This dramatization of LeBron James' life chronicles how he and his friends overcame the odds to become the nation's top high school basketball team.,Drama,2023,-,"Wood Harris, Mookie Cook, Caleb McLaughlin",Netflix,https://www.netflix.com/ca/title/81683692
Movie,Sing,"An optimistic koala tries to save his struggling theater with a singing contest that attracts animal talent of all shapes, sizes and species.",Kids,2016,-,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane",Netflix,https://www.netflix.com/ca/title/80117526
TV Show,Ski into Love,"After a scandal threatens her career, manga artist Wei Zhi escapes to a ski resort, where she meets instructor Shan Chong and begins to heal.",Romance,2025,1 Season,"Yu Shuxin, Lin Yi, Fei Qiming",Netflix,https://www.netflix.com/ca/title/81954934
Movie,Society of the Snow,"Following a plane crash in the remote heart of the Andes, survivors join forces and become each other's best hope as they navigate their way back home.",Drama,2024,-,"Enzo Vogrincic, Agustín Pardella, Matías Recalt",Netflix,https://www.netflix.com/ca/title/81268316
TV Show,Son of a Critch,"An awkward boy on the cusp of adolescence endures the complications of family life, Catholic school and youthful romance in 1980s Newfoundland.",Comedy,2022,1 Season,"Benjamin Evan Ainsworth, Mark Critch, Claire Rankin",Netflix,https://www.netflix.com/ca/title/81928076
Movie,Sonic the Hedgehog,A small-town sheriff helps an alien hedgehog with supersonic speed outrun a wicked doctor who wants the creature's special powers to dominate the world.,Kids,2020,-,"James Marsden, Jim Carrey, Ben Schwartz",Netflix,https://www.netflix.com/ca/title/80217006
Movie,Spenser Confidential,"Spenser, an ex-cop and ex-con, teams up with aspiring fighter Hawk to uncover a sinister conspiracy tied to the deaths of two Boston police officers.",Thriller,2020,-,"Mark Wahlberg, Winston Duke, Alan Arkin",Netflix,https://www.netflix.com/ca/title/81005492
Movie,Spider-Man: Into the Spider-Verse,"After being bitten by a radioactive spider, Brooklyn teen Miles Morales gets a crash course in web-slinging from his alternate-dimension counterparts.",Action,2018,-,"Shameik Moore, Jake Johnson, Hailee Steinfeld",Netflix,https://www.netflix.com/ca/title/81002747
Movie,Spy,"To avenge her superspy partner and stop a global threat, an untested, desk-bound CIA analyst goes undercover — and proves remarkably adept in the field.",Comedy,2015,-,"Melissa McCarthy, Jason Statham, Rose Byrne",Netflix,https://www.netflix.com/ca/title/80027379
TV Show,Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",Thriller,2021,2 Seasons,"Lee Jung-jae, Lee Byung-hun, Yim Si-wan",Netflix,https://www.netflix.com/ca/title/81040344
TV Show,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",Sci-Fi,2016,4 Seasons,"Winona Ryder, David Harbour, Millie Bobby Brown",Netflix,https://www.netflix.com/ca/title/80057281
Movie,Suicide Squad,"While behind bars, a team of supervillains is recruited by a secret government agency for a deadly mission to save humanity in exchange for clemency.",Action,2016,-,"Will Smith, Jared Leto, Margot Robbie",Netflix,https://www.netflix.com/ca/title/80091595
TV Show,Suits,"After impressing a slick lawyer with his razor-sharp mind, a college dropout scores a coveted associate job, even though he has no legal credentials.",Drama,2011,9 Seasons,"Gabriel Macht, Patrick J. Adams, Sarah Rafferty",Netflix,https://www.netflix.com/ca/title/70195800
Movie,Sully,"Shortly after takeoff, an Airbus 320 crash-lands on the Hudson River. There are no fatalities, but the captain faces scrutiny and the glare of fame.",Drama,2016,-,"Tom Hanks, Aaron Eckhart, Laura Linney",Netflix,https://www.netflix.com/ca/title/80103102
TV Show,Superstore,"At a big-box megastore in St. Louis, a group of employees with larger-than-life personalities put up with customers, day-to-day duties and each other.",Comedy,2015,6 Seasons,"America Ferrera, Ben Feldman, Mark McKinney",Netflix,https://www.netflix.com/ca/title/80061132
